Codigo,Nombre,Categoria,Estado,Departamento,Municipio,Altitud,Fecha_instalacion,Fecha_suspension,Corriente,Latitude,Longitud
22025501,ATACO  - AUT  [22025501],Climática Principal,Activa,Tolima,Ataco,1858,23/10/2013,,0,3.41666667,-75.63305556
21185501,ROVIRA  - AUT  [21185501],Climática Principal,Activa,Tolima,Rovira,1285,23/10/2013,,0,4.26666667,-75.28305556
21165502,VILLARICA  - AUT  [21165502],Climática Principal,Activa,Tolima,Villarrica,999,29/10/2013,,0,3.95564167,-74.59178611
23055501,SANTA HELENA  - AUT  [23055501],Climática Principal,Activa,Caldas,Marquetalia,1395,05/12/2013,,0,5.31749722,-74.99610833
26175501,RAFAEL ESCOBAR  - AUT  [26175501],Climática Principal,Activa,Caldas,Supia,1307,04/03/2014,,0,5.45,-75.63305556
26165501,EL CIPRES  - AUT  [26165501],Climática Principal,Activa,Caldas,Salamina (Caldas),1877,20/05/2014,,0,5.43333333,-75.5
26145502,LA ELVIRA  - AUT  [26145502],Climática Principal,Activa,RIsaralda,Belén De Umbría,999,01/06/2014,,0,5.20252778,-75.86479722
2620000059,HELICONIA - AUT,Pluviográfica,Activa,Antioquia,Heliconia,1430,08/03/2013,,0,6.20686111,-75.73363889
22045501,CHAPARRAL  - AUT  [22045501],Climática Principal,Activa,Tolima,Chaparral,1827,29/10/2013,,0,3.83305556,-75.58305556
26125501,GENOVA  - AUT  [26125501],Climática Principal,Suspendida,Quindío,Génova,1665,05/12/2013,21/08/2019,0,4.20441667,-75.76866667
23055502,VILLARAZ  - AUT  [23055502],Climática Principal,Activa,Caldas,Pensilvania,1641,08/12/2013,,0,5.38333333,-75.06638889
24025501,ALBERTO SANTOS  - AUT  [24025501],Climática Principal,Activa,Santander,Socorro,1499,09/12/2013,,0,6.49305278,-73.22111111
44015501,MOCOA  - AUT  [44015501],Climática Principal,Activa,Putumayo,Mocoa,1028,27/05/2014,,0,1.08499722,-76.70763889
26175502,LA CRISTALINA  - AUT  [26175502],Climática Principal,Activa,Antioquia,Valparaiso,780,01/06/2014,,0,5.7,-75.65999722
52025501,LA VEGA  - AUT  [52025501],Climática Principal,Activa,Cauca,La Vega,1870,16/07/2014,,0,2.09294167,-76.81202778
23195501,SAN ANTONIO  - AUT  [23195501],Climática Principal,Activa,Santander,Floridablanca,1539,02/09/2014,,0,7.09944167,-73.06638611
23125501,PAUNA  - AUT  [23125501],Climática Principal,Activa,Boyacá,Pauna,1410,09/10/2014,,0,5.65713056,-73.96032778
2620000092,SANTA BARBARA - AUT,Pluviográfica,Activa,Antioquia,Santa Bárbara (Antioquia),1832,15/03/2013,,0,5.87469444,-75.56836111
2701000025,BELMIRA - AUT [2701000025],Pluviográfica,Activa,Antioquia,Belmira,2515,15/03/2013,,0,6.60578889,-75.66731389
2620700005,SANTA FE DE ANTIOQUIA - RIO CAUCA - AUT [2620700005],Limnigráfica,En Mantenimiento,Antioquia,Sopetrán,481,15/06/2013,,1204,6.51363889,-75.81797222
2701700009,CALDAS - PRIMAVERA - AUT [2701700009],Limnigráfica,Activa,Antioquia,Caldas (Antioquia),1783,20/06/2013,,1209,6.07602778,-75.63241667
2617700013,CARAMANTA - AUT,Limnigráfica,En Mantenimiento,Caldas,Aguadas,636,16/08/2017,,1204,5.59525,-75.58094444
2308700017,CISNEROS - AUT,Limnigráfica,Activa,Antioquia,Cisneros,1038,21/06/2013,,1212,6.5375,-75.08935556
2624700018,CAUCASIA - RIO MAN - AUT,Limnigráfica,En Mantenimiento,Antioquia,Caucasia,50,30/06/2013,,1208,7.95685833,-75.20772778
2619700019,CIUDAD BOLIVAR - AUT,Limnigráfica,Activa,Antioquia,Ciudad Bolívar,1192,12/06/2013,,1202,5.84988889,-76.02291667
21208900,TOCAIMA [21208900],Limnimétrica,Activa,Cundinamarca,Tocaima,490,14/12/1987,,Bogota,4.47,-74.65
2701700021,DONMATIAS - QUEBRADA DON MATÍAS - AUT,Limnigráfica,En Mantenimiento,Antioquia,Don Matías,2147,22/08/2017,,1195,6.49036111,-75.40025
3507500140,TURMEQUE JOYAGUA [35075120],Climática Principal,Activa,Boyacá,Turmequé,3048,31/01/2018,,0,5.27730278,-73.52584167
2625500010,BOYA CAYO BOLIVAR - AUT  [2625500010],Meteorológica Especial,Activa,"Archipiélago de San Andres, Providencia y Santa Catalina","San Andrés (Archipiélago de San Andrés, Providencia y Santa Catalina)",0,03/05/2015,,Mar Caribe,12.39551,-81.4773
3507500137,CIENAGA CENTRO,Climática Principal,Activa,Boyacá,Ciénega,2483,31/12/2016,,0,5.41199167,-73.30092778
3507500138,GARAGOA CESAM [35075110],Climática Principal,Activa,Boyacá,Garagoa,1747,31/01/2018,,0,5.08134722,-73.36003611
3508500139,SAN LUIS DE GACENO [35085090],Climática Principal,Activa,Boyacá,San Luis De Gaceno,487,31/01/2018,,0,4.82223333,-73.171
21201930,GUANQUICA,Pluviométrica,Activa,Cundinamarca,Tausa,3,14/02/1996,,0,5.18,-73.94
26125160,PISAMAL  [26125160],Climática Ordinaria,Suspendida,Quindío,La Tebaida,1050,15/02/1976,15/01/1977,Qda San Juana,4.43333333,-75.8
3507500141,TURMEQUE JOYAGUA [35075120],Climática Principal,Activa,Boyacá,Turmequé,3048,31/01/2018,,0,5.27730278,-73.52584167
3507500142,GARAGOA CESAM [35075110],Climática Principal,Activa,Boyacá,Garagoa,1747,31/01/2018,,0,5.08134722,-73.36003611
3507500145,TURMEQUE JOYAGUA [35075120],Climática Principal,Activa,Boyacá,Turmequé,3048,31/01/2018,,0,5.27730278,-73.52584167
3507500146,GARAGOA CESAM [35075110],Climática Principal,Activa,Boyacá,Garagoa,1747,31/01/2018,,0,5.08134722,-73.36003611
3507500144,CIENEGA CENTRO [35075100],Climática Principal,Activa,Boyacá,Ciénega,2483,31/12/2016,,0,5.41199167,-73.30092778
3508500143,SAN LUIS DE GACENO [35085090],Climática Principal,Activa,Boyacá,San Luis De Gaceno,487,31/01/2018,,0,4.82223333,-73.171
2615500011,ALTO DE LA COCA - AUT,Climática Principal,Activa,Caldas,Manizales,2930,04/07/2018,,0,5.08153056,-75.418275
5311500147,INFANTERIA MARINA,Meteorológica Especial,Activa,Valle del Cauca,Buenaventura,7,12/12/2019,,Dagua,3.89008333,-77.07033056
3502700153,PNN CHINGAZA - AUT,Limnigráfica,Activa,Cundinamarca,Fómeque,3349,25/12/2019,,Chingaza,4.47294444,-73.78022222
5311500148,COLEGIO VNB,Meteorológica Especial,Activa,Valle del Cauca,Buenaventura,9,12/12/2019,,Dagua,3.88419444,-77.04938056
5311500149,COLEGIO VNB,Meteorológica Especial,Activa,Valle del Cauca,Buenaventura,9,12/12/2019,,Dagua,3.88419444,-77.04938056
2614500032,SAN JOSÉ - AUT,Climática Principal,Suspendida,RIsaralda,Belén De Umbría,1016,04/07/2018,06/07/2018,0,5.11546944,-75.84369444
26140070,CORINTO  [26140070],Pluviométrica,Suspendida,RIsaralda,Santuario (Risaralda),1300,15/11/1966,15/08/1968,Tobia,5.08333333,-75.96666667
26095210,EL COMINAL - AUT [26095210],Climática Ordinaria,Activa,Valle del Cauca,Palmira,2055,30/06/2017,,0,3.52470278,-76.15144167
26110280,VENECIA - AUT [26110280],Climática Ordinaria,Activa,Valle del Cauca,Trujillo,1532,30/06/2017,,0,4.19671667,-76.40060278
26310010,YUMBILLO - AUT [26310010],Climática Ordinaria,Activa,Valle del Cauca,Yumbo,1730,30/06/2017,,0,3.58033333,-76.54991111
26355010,BARRAGAN - AUT [26355010],Meteorológica Especial,Activa,Valle del Cauca,Tuluá,3100,30/06/2017,,0,4.03328611,-75.88835833
54075130,PACIFICO-SAN JUAN - AUT [54075130],Limnigráfica,Activa,Valle del Cauca,Buenaventura,3,30/06/2017,,Quebrada Buena Vista,4.22126389,-77.27716111
54075110,EL DARIEN - AUT [54075110],Limnimétrica,Activa,Valle del Cauca,Calima (El Darién),1500,30/06/2017,,1204,3.92958056,-76.48874167
26100090,PCH - ALTO - AUT [26100090],Pluviográfica,Activa,Valle del Cauca,Tuluá,1618,30/06/2017,,0,3.90470556,-76.07681111
2612700130,LA PLAYA - AUT   [2612700130],Limnimétrica,Activa,Quindío,Salento,1880,22/05/2018,,1251,4.64258056,-75.55815556
26125030,FILANDIA  [26125030],Climática Ordinaria,Suspendida,Quindío,Filandia,2066,15/08/1941,15/11/1945,Juanamarillo,4.68333333,-75.65
54030180,COLEGURRE  [54030180],Pluviográfica,Suspendida,Valle del Cauca,Argelia (Valle del cauca),1125,15/12/1977,15/12/1990,Qda Santa Barbara,4.68333333,-76.2
26155010,COL DE CRISTO  [26155010],Climática Ordinaria,Suspendida,Caldas,Manizales,2153,15/01/1907,15/12/1942,Qda Santa Barbara,5.06666667,-75.53333333
54030070,PATIOS  [54030070],Pluviométrica,Suspendida,Valle del Cauca,El Dovio,815,15/07/1979,15/06/1987,Pescador,4.35,-76.56666667
26107020,RIOPAILA  [26107020],Limnimétrica,Suspendida,Valle del Cauca,Zarzal,931,15/08/1945,15/11/1946,Las Canas,4.36666667,-76.05
27017700,DESEMBOCADURA  [27017700],Limnimétrica,Suspendida,Antioquia,Santa Rosa De Osos,2400,15/10/1983,15/11/1985,Qda Los Atajos,6.66666667,-75.51666667
23090050,SIERRA LA-NARE  [23090050],Pluviométrica,Suspendida,Antioquia,Puerto Berrío,125,15/12/1968,15/10/1993,Mosquita,6.21666667,-74.58333333
23087030,MOSCA LA RN-2  [23087030],Limnigráfica,Suspendida,Antioquia,Guarne,2080,15/09/1954,15/05/1991,Qda La Mosca,6.23333333,-75.4
27017220,DESEMBOCADURA  [27017220],Limnimétrica,Suspendida,Antioquia,Medellín,1490,15/03/1980,15/07/1985,Qda Altavista,6.23333333,-75.56666667
24010480,GUADALUPE  [24010480],Pluviométrica,Suspendida,Santander,Guadalupe (Santander),1395,15/08/1966,15/07/1967,Abreito,6.25,-73.41666667
27017260,TORO OCHOA RMS 18  [27017260],Limnigráfica,Suspendida,Antioquia,Medellín,1450,15/12/1980,15/03/1992,Medellin,6.25,-75.56666667
28020520,GUADALAJARA HDA  [28020520],Pluviométrica,Suspendida,Cesar,Agustín Codazzi,210,15/01/1962,15/03/1965,Canal Del Dique,10.01666667,-73.18333333
28020180,ANTIOQUIA HDA  [28020180],Pluviométrica,Suspendida,Cesar,Agustín Codazzi,200,15/06/1961,15/03/1967,Canal Del Dique,10.03333333,-73.21666667
29037240,CNO CORREA  [29037240],Limnimétrica,Suspendida,Bolívar,Arjona,3,15/09/1970,15/03/1972,Cno Correa,10.06666667,-75.4
29037350,MIRA 5  [29037350],Limnimétrica,Suspendida,Bolívar,María La Baja,5,15/03/1964,15/10/1964,Cno Correita,10.06666667,-75.41666667
